,Year,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound,NOAA Adjusted Sea Level
127,2007,7.996062984,7.712598417,8.279527551,7.70214715
66,1946,3.251968501,2.834645666,3.669291335,
104,1984,6.153543301,5.905511805,6.401574797,
19,1899,1.338582676,0.574803149,2.102362203,
42,1922,1.952755904,1.433070865,2.472440942,
60,1940,2.618110234,2.18110236,3.055118107,
12,1892,0.499999999,-0.31496063,1.314960629,
109,1989,6.157480309,5.905511805,6.409448812,
100,1980,5.598425191,5.34251968,5.854330703,
101,1981,6.086614167,5.830708655,6.342519679,
